(100, 10,0)&&0.000526&&3365&&55

(100, 10,0)&&0.000493&&3365&&55

(100, 10,0)&&0.000503&&3365&&55

(100, 10,0)&&0.000488&&3365&&55

(100, 10,0)&&0.000523&&3365&&55

(100, 10,0)&&0.001001&&3365&&55

(100, 10,0)&&0.000519&&3365&&55

(100, 10,0)&&0.000487&&3365&&55

(100, 10,0)&&0.000487&&3365&&55

(100, 10,0)&&0.000491&&3365&&55

(100, 10,0)&&0.00047&&3365&&55

(100, 10,0)&&0.000495&&3365&&55

(100, 10,0)&&0.00055&&3365&&55

(100, 10,0)&&0.000636&&3365&&55

(100, 10,0)&&0.000525&&3365&&55

(100, 10,0)&&0.000373&&3365&&55

(100, 10,0)&&0.000505&&3365&&55

(100, 10,0)&&0.000532&&3365&&55

(100, 10,0)&&0.000555&&3365&&55

(100, 10,0)&&0.000605&&3365&&55

(100, 20,0)&&0.000459&&4979&&83

(100, 20,0)&&0.000878&&4979&&83

(100, 20,0)&&0.000851&&4979&&83

(100, 20,0)&&0.00052&&4979&&83

(100, 20,0)&&0.000505&&4979&&83

(100, 20,0)&&0.000444&&4979&&83

(100, 20,0)&&0.000409&&4979&&83

(100, 20,0)&&0.000407&&4979&&83

(100, 20,0)&&0.000384&&4979&&83

(100, 20,0)&&0.000393&&4979&&83

(100, 20,0)&&0.000646&&4979&&83

(100, 20,0)&&0.000502&&4979&&83

(100, 20,0)&&0.000514&&4979&&83

(100, 20,0)&&0.000519&&4979&&83

(100, 20,0)&&0.000487&&4979&&83

(100, 20,0)&&0.000465&&4979&&83

(100, 20,0)&&0.000495&&4979&&83

(100, 20,0)&&0.00051&&4979&&83

(100, 20,0)&&0.000517&&4979&&83

(100, 20,0)&&0.000376&&4979&&83

(100, 50,0)&&0.000409&&7693&&100

(100, 50,0)&&0.000423&&7693&&100

(100, 50,0)&&0.000487&&7693&&100

(100, 50,0)&&0.000424&&7693&&100

(100, 50,0)&&0.000501&&7693&&100

(100, 50,0)&&0.000481&&7693&&100

(100, 50,0)&&0.000483&&7693&&100

(100, 50,0)&&0.000442&&7693&&100

(100, 50,0)&&0.000494&&7693&&100

(100, 50,0)&&0.000439&&7693&&100

(100, 50,0)&&0.000404&&7693&&100

(100, 50,0)&&0.001054&&7693&&100

(100, 50,0)&&0.000401&&7693&&100

(100, 50,0)&&0.000397&&7693&&100

(100, 50,0)&&0.000871&&7693&&100

(100, 50,0)&&0.000526&&7693&&100

(100, 50,0)&&0.000496&&7693&&100

(100, 50,0)&&0.000507&&7693&&100

(100, 50,0)&&0.00043&&7693&&100

(100, 50,0)&&0.000462&&7693&&100

(1000, 100,0)&&0.0011&&7906&&970

(1000, 100,0)&&0.000536&&7906&&970

(1000, 100,0)&&0.000698&&7906&&970

(1000, 100,0)&&0.000452&&7906&&970

(1000, 100,0)&&0.000521&&7906&&970

(1000, 100,0)&&0.000457&&7906&&970

(1000, 100,0)&&0.000389&&7906&&970

(1000, 100,0)&&0.000424&&7906&&970

(1000, 100,0)&&0.000631&&7906&&970

(1000, 100,0)&&0.000448&&7906&&970

(1000, 100,0)&&0.000386&&7906&&970

(1000, 100,0)&&0.000522&&7906&&970

(1000, 100,0)&&0.000481&&7906&&970

(1000, 100,0)&&0.000441&&7906&&970

(1000, 100,0)&&0.000394&&7906&&970

(1000, 100,0)&&0.000584&&7906&&970

(1000, 100,0)&&0.000981&&7906&&970

(1000, 100,0)&&0.000433&&7906&&970

(1000, 100,0)&&0.000484&&7906&&970

(1000, 100,0)&&0.000459&&7906&&970

(1000, 200,0)&&0.000474&&11760&&989

(1000, 200,0)&&0.000549&&11760&&989

(1000, 200,0)&&0.000417&&11760&&989

(1000, 200,0)&&0.000409&&11760&&989

(1000, 200,0)&&0.000643&&11760&&989

(1000, 200,0)&&0.00056&&11760&&989

(1000, 200,0)&&0.000519&&11760&&989

(1000, 200,0)&&0.00049&&11760&&989

(1000, 200,0)&&0.000542&&11760&&989

(1000, 200,0)&&0.000407&&11760&&989

(1000, 200,0)&&0.000484&&11760&&989

(1000, 200,0)&&0.000454&&11760&&989

(1000, 200,0)&&0.000467&&12158&&974

(1000, 200,0)&&0.00047&&12158&&974

(1000, 200,0)&&0.000468&&12158&&974

(1000, 200,0)&&0.000517&&12158&&974

(1000, 200,0)&&0.00056&&12158&&974

(1000, 200,0)&&0.00054&&12158&&974

(1000, 200,0)&&0.000439&&12158&&974

(1000, 200,0)&&0.000668&&12158&&974

(10000, 2000,0)&&0.000512&&45584&&9975

(10000, 2000,0)&&0.000477&&50321&&9995

(10000, 2000,0)&&0.000562&&47797&&9960

(10000, 2000,0)&&0.000485&&47686&&9988

(10000, 2000,0)&&0.000565&&40528&&9994

(10000, 2000,0)&&0.000429&&41641&&9999

(10000, 2000,0)&&0.00055&&47843&&9998

(10000, 2000,0)&&0.000489&&46536&&9964

(10000, 2000,0)&&0.000497&&43489&&9975

(10000, 2000,0)&&0.000551&&40930&&9960

(10000, 2000,0)&&0.00051&&36726&&9969

(10000, 2000,0)&&0.00054&&48456&&9992

(10000, 2000,0)&&0.000568&&43174&&9934

(10000, 2000,0)&&0.000512&&41088&&9996

(10000, 2000,0)&&0.00044&&42814&&9977

(10000, 2000,0)&&0.000478&&46392&&9933

(10000, 2000,0)&&0.00045&&45567&&9995

(10000, 2000,0)&&0.00052&&44281&&9998

(10000, 2000,0)&&0.000609&&44377&&9991

(10000, 2000,0)&&0.000565&&40796&&9930

